artista,oyentes,reproducciones,biografia,artistas_similares
Ten,216082,9225770,"TEN (nombre artístico), nacido como Chittaphon Leechaiyapornkul en Bangkok, Tailandia, el 27 de febrero de 1996. Culminó sus estudios en Shrewsbury International School. Habla 5 idiomas fluidos: tailandés, coreano, mandarín, inglés y japonés. Es un bailarín, cantante y modelo tailandés que debutó en el año 2016 bajo el brand NCT, en el grupo NCT U de la compañía surcoreana SM Entertainment, desempeñándose como sub rapero. Antes de ser reclutado por la empresa inició su carrera artística a temprana edad siendo participante en un concurso de talentos llamado ""Teen Super Star"" en el año 2011 con 15 años de edad. 
Inicio su carrera en solitario en el año 2017, con su solo station llamado ""Dream in a dream"" en el que demostró su talento para el canto y el baile con una canción con sonido clásico oriental que cautivó a muchos. De la misma forma, realizó otros trabajos en solitario como ""New Heroes"", ""Paint me naked"" y ""Birthday"", canciones en las que exploró géneros para asentarse más como artista. 
En el año 2019, luego de años sin actividad grupal, debutó como integrante de WayV, desempeñándose como bailarín principal, vocalista principal y centro. Este grupo tiene enfoque promocional en China por lo que las canciones casi en su totalidad son en mandarín. 
En ese mismo año también debutó en el grupo SuperM, un grupo con integrantes de varios grupos de SM Entertainment como lo son Taemin de SHINee, Baekhyun de EXO, Mark de NCT Dream, entre otros, y que en la actualidad se encuentra en hiatus.
En el año 2024, en el mes de febrero lanzó su primer mini album, llamado ""TEN"" como su nombre artístico, compuesta por 6 canciones: ""Nightwalker"", el título principal del mini album, de género pop dance con un ritmo adictivo y una base de guitarra constante, con créditos en la coreografía de la canción, ""On Ten"" una canción con fuertes influencias del hiphop, en el que presentó su versatilidad poniendo su toque de rapero, ""Dangerous"" de género pop punk con una base groovy synth y funky guitar, con una coreografía inspirada en el pop de MJ, ""Water"" agregando el pop latin dance al album, reinterpretando el sonido que abundaba en los 2000s, ""Shadow"" como lo dice su nombre, una canción un poco oscura dando una atmósfera emocional que lo acompaña con una lirica e interpretación adecuada y por último ""Lie With You"" una canción pop nostálgica que lleva al oyente a recordar al amado que se ha marchado. <a href=""https://www.last.fm/music/Ten"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['NCT U', 'NCT 127', 'RIIZE', 'P1Harmony', 'Kai']"
Marta Santos,11860,131587,,"['Antoñito Molina', 'Luis Cortés', 'RaulE', 'juanlu montoya', 'Salistre']"
Miguel Campello,9010,108383,"Miguel Campello (Elche, España, 1979) es un cantautor español que comenzó su carrera en solitario después de liderar la banda elbicho durante la primera década del siglo XXI y tras la pausa que se concedió el grupo en 2010. Su obra ofrece un tono más intimista que el desarrollado por la formación madrileña, aunque se mantienen muchos de sus referentes estilísticos. <a href=""https://www.last.fm/music/Miguel+Campello"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['El Canijo de Jerez', 'elbicho', 'Antoñito Molina', 'Juanito Makandé', 'Nolasco']"
Jon Z,92164,1491138,"Jonathan Resto Quiñones, conocido por su nombre artístico Jon Z, es un rapero y productor discográfico puertorriqueño.​ <a href=""https://www.last.fm/music/Jon+Z"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Ele A El Dominio', 'Jamby El Favo', 'Bryant Myers', 'Brytiago', 'TRAP CAPOS']"
Pierce The Veil,1489538,147883865,"Pierce the Veil (antiguamente llamados Before Today y Early Times) es una banda de post hardcore y rock experimental oriunda de San Diego, California.

Se formó originalmente por Victor Fuentes , Michael Fuentes , Joe Tancil y Mitchell Ballatore . 
A inicios de su fundación, firmaron con Equal Vision, después de lanzar EP's, cambiar su nombre a Before Today y lanzar un LP debut, cambiaron su nombre a Pierce the Veil. Tancil y Ballatore dejan la banda y son remplazados por Jaime Preciado y Tony Perry. Después de los cambios, lanzaron 3 LP's mas, en 2007, 2010 y 2012, llamados A Flair For The Dramatic, Selfish Machines y Collide With The Sky, respectivamente.

Han mantenido relación en tours con reconocidas bandas como Breathe Carolina, Chiodos, The devil wears prada, Emarosa, Thursday, Bring Me The Horizon, From First to Last, Fall Out Boy, entre muchas otras.

--Miembros

*Victor Fuentes - voz, teclados, sintetizador, programación, piano, guitarra principal & rítmica
*Michael Fuentes - batería, percusión, coros
*Jaime Preciado - bajo, coros, programación (desde 2006)
*Tony Perry - guitarra principal & rítmica, coros (desde 2006)

--Ex miembros
*Joe Tancil - guitarra principal & rítmica, coros (hasta 2006)
*Mitchell Ballatore - bajo (hasta 2006) <a href=""https://www.last.fm/music/Pierce+The+Veil"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
Blessd,173714,4246770,"Stiven Mesa Londoño, conocido artísticamente como Blessd o El Bendito, es un cantante y compositor colombiano. <a href=""https://www.last.fm/music/Blessd"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Ryan Castro', 'Feid', 'Kevin Roldan', 'Ovy On The Drums', 'Brytiago']"
Tego Calderón,228453,2433526,"Tegui Calderón Rosario (nació el 1 de febrero de 1972 en Santurce, Puerto Rico) — conocido como Tego Calderón — es un rapero de Rio Grande, Puerto Rico. Con su álbum El Abayarde consiguió ganar popularidad. En sus letras trata sobre temas de racismo, desigualdades y guetos puertorriqueños.

Calderón dice que fue influenciado por Ismael Rivera porque sus padres eran fans de él. También relaciona el amor de sus padres al jazz como otra influencia. Calderón finalmente estudió percusión y creó su propio estilo rítmico que combina los sonidos de salsa, dancehall, y hip-hop. En el sentido lírico, combinó argot de 1960 con el argot actual y relatos de la vida del barrio.

Primeros años 

Calderón nació en Santurce, Puerto Rico. Se mudo a una edad temprana de su natal Puerto Rico a Miami, Florida, donde asistió a Beach Senior High. Aquí entró en contacto con varias culturas diferentes, con el tiempo el estudio de la percusión y de trabajo como batería en una banda de rock. La banda cubriría canciones producidas por artistas como Ozzy Osbourne y Led Zeppelin. Se ha observado que sus dos padres eran fans de Ismael Rivera, y que su padre también estaba interesado en el jazz. Fue influenciado por ambos géneros y los incorporó a su música, incluyendo canciones como ""Minnie The Moocher"". Con el tiempo desarrolló un estilo musical que combina elementos de la salsa, dancehall, y hip hop, centrándose en los aspectos de la vida urbana en sus letras. 
Carrera musical 

Calderón hizo algunas apariciones en álbumes de otros raperos, con el tiempo firmo con el sello White Lion. En 2002, publicó su primer álbum de estudio titulado El Abayarde. A pesar de que el reggaetón se consideraba en ese tiempo un género “underground”, el álbum vendió 50.000 copias en su lanzamiento, estableciendo un récord de ventas para un álbum de música urbana. Tres meses después de publicar El Abayarde, Calderón organizó su primer concierto, que tuvo lugar en el Coliseo Roberto Clemente en San Juan, Puerto Rico y se agotó el lugar. Al día siguiente se convirtió en el primer artista de rap en realizar una actuación en la reunión anual puertorriqueña ""Día Nacional De La Salsa"". 
En agosto de 2003, Calderón actuó en el Madison Square Garden en Nueva York. Su segunda aparición en el lugar fue en octubre de 2004, donde encabezó un evento titulado ""Megatones De 2004"". El concierto se agotó, con 20.000 asistentes de un público mixto de latinos y aficionados americanos. Calderón viaja posteriormente a Miami, donde incorporó elementos del sabor del dancehall a su estilo musical. En 2004, su álbum titulado El Enemy De Los Guasibiri fue lanzado. La producción del álbum incluye una mezcla de varios géneros urbanos. Calderón afirmó que prefería la influencia de estos otros géneros debido a su creencia de que la salsa ""se había convertido demasiado corporativa”. Años después de su lanzamiento, Calderón declaró que nunca había aprobado la liberación del álbum, que según él era más bien una colección de viejas canciones y que debería quedar fuera de su discografía como un álbum sin autorización. A raíz de la liberación de este álbum, el reggaetón gano más influencia para varios productores de hip hop en Nueva York. Calderón continuó trabajando en varios mixtapes, siendo ofrecido en remezclas de Usher, “Yeah"", Fat Joe, ""Lean Back"", N.O.R.E., “Oye Mi Canto"" y Akon ""I Wanna Love You"". 
2005-Presente/ WY Records 

Calderón participó en el 2004 y 2005 en las ediciones del Desfile de Nueva York, ""Rican Day"". Durante este periodo de tiempo se convirtió en el primer artista latinoamericano en ser incluido en el Power-105 de Nueva York. 
En el verano de 2005, Calderón firmó un contrato entre Atlantic Records y su propio sello independiente, Jiggiri Records, convirtiéndose en el primer artista de reggaetón en tener un trato con una discográfica importante. 
En 2006, se lanzo The Underdog: El Subestimado. Señaló que la producción incluye la influencia de varios ritmos afro-caribeños, incluyendo reggae, salsa y rumba. Esta producción contó con las colaboraciones de artistas importantes como Buju Banton, Yandel, Don Omar y Oscar D'León. Varios productores participaron en el álbum, incluyendo Luny Tunes, DJ Nelson, Nesty, DJ Joe y Echo. En la fiesta de presentación del álbum, Calderón explicó que ya no se considera como un artista de reggaetón, porque el considera que este género musical se ha vuelto demasiado comercial. Tomando nota de que el menciono que el reggaetón se está volviendo demasiado similar a la música pop y que él no deja que sus niños escuchen música pop en casa a menos que sea en el radio. 

Recientemente, a mediados del año 2010 Tego Calderón es un artista más de la compañía WY Records. Se decía que ya no cantará reggaetón pero al parecer una fuerte suma de dinero ofrecida por WY Records al cantante y a su representante lo ha hecho cambiar de opinión. Pero a Tego ya lo habíamos escuchado junto a Wisin & Yandel en algunas cancíones pero más estuvo acompañado de Yandel. Algunas canciones son Ánimo remix (ft Wisin & Yandel), Al natural remix (ft Yandel), Cuando Baila reggaetón (ft Yandel) entre otros. WY Records ya cuenta en sus filas con artistas de buena clase como son: Jowell & Randy ""Los del Momento"", Jayko ""El Prototipo"", Tico ""El Inmigrante"", ""El General"" Gadiel, De La Ghetto ""El Jefe del Bloque"", Cosculluela ""El Príncipe"" y ahora último Tego Calderón ""El Chacal"". Su canción debut ha sido la canción la canción que presenta el disco Los Vaqueros 2. Los Vaqueros 2 (Intro) ((ft Wisin & Yandel, Franco ""El Gorila"", De La Ghetto, Cosculluela)). Ahora Tego es conocido como ""El Chacal"". La próxima producción de Tego saldrá bajo el sello discográfico de WY Records, sin duda, es uno de los mejores cosas que le ha pasado a Tego, musicalmente hablando. 
Estilo musical 

Aunque Calderón es un artista de reggaetón, afirma que le gusta ""todo tipo de música"". La evidencia de esto se ve tanto en su biografía (que comenzó su carrera como músico en una banda de metal y asistió a una escuela de música como baterista), así como en su música, que incorpora varias tendencias musicales, incluyendo sonidos y ritmos de lugares como África, Colombia y el Caribe. 
Calderón también ha sido elogiado por sus letras, que son mucho más sustantivas y edificantes que las letras misóginas y materialistas que han llegado a definir el reggaetón, así como la mayoría de la música hip hop. Calderón se ha descrito como ""el campeón del reggaetón de una estética afro-caribeño de la clase trabajadora"" y es conocido por sus canciones que abordan diversos temas desde el nivel de vida que se tiene en los barrios pobres de Puerto Rico hasta críticas hacia la política y el gobierno. Un vínculo consistente entre todos sus álbumes son los temas sociales. De acuerdo con Tony Touch, ""Tego es alguien que representa la lucha… es más que un MC, un producto de finales de los 80 del hip-hop"". 
Cine y otros proyectos 

Calderón hizo su debut como actor en la película Illegal Tender, producida por John Singleton. Calderón jugó el papel de ""Choco"", un gángster de Puerto Rico, cuyo carácter ha sido escrito específicamente para él por el director Franc Reyes. Calderón rechazo los papeles de las películas Feel The Noise y El Cantante, y en su lugar eligió estar presente en Illegal Tender por respeto a su productor. Después de convencer a John Singleton que quería estar presente en una comedia, Calderón está programado para aparecer en una próxima película de Singleton, que le pone como el entrenador de un equipo de béisbol. 
Calderón viajó a Sierra Leona junto a los artistas Raekwon y Paul Wall para filmar un documental de VH1 acerca de la extracción de diamantes titulado Bling'd: Sangre, Diamantes Y El Hip-Hop. El documental se centró en el papel del hip hop en el comercio de ""diamantes de sangre"", después de que la filmación concluyó Calderón anunció públicamente que dejaría de usar joyas. Su experiencia en África también cambió su visión de la vida, que influyó en la grabación de la canción ""Alegría"", animando a los fans a no quejarse sobre la vida y reconocer que hay otras personas con mayores problemas en sus vidas. 
Calderón se presenta en Rápidos Y Furiosos, la cuarta película de la saga del mismo nombre. Y Tego ha sido confirmado para estar en la quinta película de la franquicia. 
Tego también aparece como un personaje del videojuego Def Jam: Icon, que es la tercera edición de la serie. 

Filmografía 
Año Pelicula Papel Notas 
2007 Illegal Tender Choco 
Bling: A Planet Rock El mismo Documental 
2009 Rapidos Y Furiosos Tego Cameo 
Los Bandoleros Leo Papel principal / Corto de Rapidos Y Furiosos 
2011 Fast Five Tego 
[editar] Vida personal 

El padre de Tego, Esteban Calderón Llarraza, murió en mayo de 2004, fue un trabajador del gobierno de Puerto Rico, Departamento de Salud, la canción ""A Mi Padre"" del disco The Underdog es una canción tributo para él. Su madre, Pilar Rosario Parrilla, es una maestra de escuela primaria, Tego también le ha dedicado una canción llamada ""Por Mi Madre"". El también tiene una hermana pequeña que lleva el nombre de Hilda Feliz. 
Tego está casado con Michelle Peterbauer, tienen un hijo, Malcolm X y una hija llamada Ebony Nairobi a quien Tego menciona a menudo en algunas de sus canciones. 
Discografía 

* El Abayarde (2002) 
* The Underdog: El Subestimado (2006) 
* El Abayarde Contra-Ataca (2008) 
* Mr. T (2010) 

Compilaciones 

* Naki Naki: Nuevo Y Diferente (2003) 
* El Enemy De Los Guasibiri (2004) 

Mixtapes 

* Guasa Guasa: The Mixtape (2005) 
* El Gongoli Mixtape (2008)  <a href=""https://www.last.fm/music/+noredirect/Tego+Calder%C3%B3n"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Don Omar', 'Wisin & Yandel', 'Héctor ""El Father""', 'Ivy Queen', 'Daddy Yankee']"
Elle King,613789,6096643,"Elle Tanner Schneider es una cantante, compositora y actriz estadounidense nacida el 3 de julio de 1989. Su estilo musical abarca pop, country, soul, rock y blues. En 2012, King lanzó su EP debut, The Elle King EP, en RCA y Fat Possum Records. La pista EP ""Playing for Keeps"" es el tema principal de la serie Mob Wives Chicago de VH1. Elle lanzó su álbum debut, Love Stuff, el 17 de febrero de 2015. 1 El álbum estuvo en el top 10 con su single ""Ex's & Oh's "", que le valió dos nominaciones a los Grammy. King también ha estado de gira con bandas como Of Monsters and Men, Train y Michael Kiwanuka. Elle es hija del comediante Rob Schneider y de la ex modelo London King. <a href=""https://www.last.fm/music/Elle+King"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['ZZ Ward', 'Gin Wigmore', 'Train', 'Rachel Platten', 'Bishop Briggs']"
Zhadan i Sobaky,9208,304412,,"['dity inzheneriv', 'Тара́с Чуба́й', 'Taras Chubay', 'KOSMOPOLIS', 'Ігор Кайдаш']"
Reik,520711,10321103,"Reik es un trío mexicano de pop originarios de la ciudad de Mexicali, México formado a mediados del 2003. Sus integrantes son Jesús Alberto Navarro Rosas (voz), Julio Ramírez Eguía (guitarra) y Gilberto Bibi Marín (guitarra).

Lanzan su primer disco homónimo a principios del 2004. Con grandes éxitos como Yo quisiera, Qué vida la mía, Noviembre sin ti, Niña y Vuelve, fueron nominado para premios como los MTV Video Music Awards Latinoamérica 2005 y los Grammys Latinos 2005. 

Para finales del 2006, sale a la venta  Secuencia, su nueva producción de los cuales se escucharon como sencillos Invierno, Me duela amarte y De Qué Sirve con sonido más rockero sin olvidar el pop y la balada, con las cuales lograron consolidarse como una de las bandas más populares en México. De éste disco la canción más exitosa fue Sabes aunque no salió como sencillo.

Su tercera producción discográfica titulada Un día más salió a la luz en 2008. De éste disco se tienen como sencillos Inolvidable, Fui, No desaparecerá y Voy A Estar. Con éste disco Reik fue el ganador en los Premios MTV 2009 como mejor grupo pop y el Grammy Latino al mejor disco, dúo o grupo.

Peligro es el nombre de su cuarto álbum que salió a la venta en Julio de 2011. Sus primeros cortes son Peligro y Tu Mirada. En éste álbum experimentan con sonidos electrónicos aunque no dejan de lado el pop y la balada.

Entre las influencias de este grupo se encuentran: Robbie Williams, Further Seems Forever, Gustavo Cerati, Sin Bandera, Shakira, Maroon 5, Keane, Coldplay, entre otros. <a href=""https://www.last.fm/music/Reik"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Camila', 'Río Roma', 'Sin Bandera', 'Jesse & Joy', 'Ha*Ash']"
dity inzheneriv,5700,216719,,"['Zhadan i Sobaky', 'Ігор Кайдаш', 'KOSMOPOLIS', 'Марний', 'артилерія']"
Hardy,167875,4607355,"Michael Wilson Hardy (born September 13, 1990), known professionally as HARDY, is an American country rock music singer and songwriter. He has written songs for Florida Georgia Line, Chris Lane, Blake Shelton, Dallas Smith, Thomas Rhett, and Morgan Wallen. He released his debut album A Rock for Big Loud Records, as well as the mixtape Hixtape, Vol. 1. His singles ""Give Heaven Some Hell"", ""One Beer"" and ""Wait in the Truck"" charted in the US and Canada and he was featured on the Dallas Smith song ""Some Things Never Change"". His most recent album, The Mockingbird & the Crow, topped the country music charts in early 2023. <a href=""https://www.last.fm/music/Hardy"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.",[]
